filename,source_pdf,ma_so,period,style,width,height,cell_index,total_cells,hoa_si,mieu_ta,nguon_goc
HVDV_-_NGN_-_AO_-_007_crop_04.png,HVDV - NGN - AO - 007_ver_04.pdf,HVDV - NGN - AO - 007,Nguyen,colored,7520,5928,4,6,Võ Quỳnh Trâm,"Bát bảo quạt, thêu trên đoạn","Bộ sưu tập áo dài của TS. Thái Kim Lan,  ảnh: Trần Khánh Vân"
HVDV_-_NGN_-_AO_-_007_crop_05.png,HVDV - NGN - AO - 007_ver_04.pdf,HVDV - NGN - AO - 007,Nguyen,colored,7519,4674,5,6,Võ Quỳnh Trâm,"Bát bảo quạt, thêu trên đoạn","Bộ sưu tập áo dài của TS. Thái Kim Lan,  ảnh: Trần Khánh Vân"
HVDV_-_NGN_-_AO_-_007_crop_06.png,HVDV - NGN - AO - 007_ver_04.pdf,HVDV - NGN - AO - 007,Nguyen,colored,7520,4674,6,6,Võ Quỳnh Trâm,"Bát bảo quạt, thêu trên đoạn","Bộ sưu tập áo dài của TS. Thái Kim Lan,  ảnh: Trần Khánh Vân"
HVDV_-_NGN_-_AO_-_008_crop_01.png,HVDV - NGN - AO - 008_ver_03.pdf,HVDV - NGN - AO - 008,Nguyen,line_art,941,941,1,6,Võ Quỳnh Trâm,Chữ thọ trên sa và đoạn,"Áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_008_crop_02.png,HVDV - NGN - AO - 008_ver_03.pdf,HVDV - NGN - AO - 008,Nguyen,line_art,942,941,2,6,Võ Quỳnh Trâm,Chữ thọ trên sa và đoạn,"Áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_008_crop_03.png,HVDV - NGN - AO - 008_ver_03.pdf,HVDV - NGN - AO - 008,Nguyen,colored,941,940,3,6,Võ Quỳnh Trâm,Chữ thọ trên sa và đoạn,"Áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_008_crop_04.png,HVDV - NGN - AO - 008_ver_03.pdf,HVDV - NGN - AO - 008,Nguyen,colored,942,940,4,6,Võ Quỳnh Trâm,Chữ thọ trên sa và đoạn,"Áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_008_crop_05.png,HVDV - NGN - AO - 008_ver_03.pdf,HVDV - NGN - AO - 008,Nguyen,line_art,941,703,5,6,Võ Quỳnh Trâm,Chữ thọ trên sa và đoạn,"Áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_008_crop_06.png,HVDV - NGN - AO - 008_ver_03.pdf,HVDV - NGN - AO - 008,Nguyen,colored,942,703,6,6,Võ Quỳnh Trâm,Chữ thọ trên sa và đoạn,"Áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_009_crop_01.png,HVDV - NGN - AO - 009_ver_04.pdf,HVDV - NGN - AO - 009,Nguyen,line_art,10944,3378,1,3,Võ Quỳnh Trâm,"Mẫu đơn, cúc và sen thêu trên đoạn","Áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_009_crop_02.png,HVDV - NGN - AO - 009_ver_04.pdf,HVDV - NGN - AO - 009,Nguyen,colored,10944,3376,2,3,Võ Quỳnh Trâm,"Mẫu đơn, cúc và sen thêu trên đoạn","Áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_009_crop_03.png,HVDV - NGN - AO - 009_ver_04.pdf,HVDV - NGN - AO - 009,Nguyen,colored,10944,2756,3,3,Võ Quỳnh Trâm,"Mẫu đơn, cúc và sen thêu trên đoạn","Áo dài bát bửu, bảo tàng văn hóa Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_011_crop_01.png,HVDV - NGN - AO - 011_ver_04.pdf,HVDV - NGN - AO - 011,Nguyen,line_art,7513,7111,1,3,Võ Quỳnh Trâm,Con mãng thêu trên đoạn,"Triều phục của Thái tử- Bảo tàng Cổ vật Cung đình Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_011_crop_02.png,HVDV - NGN - AO - 011_ver_04.pdf,HVDV - NGN - AO - 011,Nguyen,colored,7512,7111,2,3,Võ Quỳnh Trâm,Con mãng thêu trên đoạn,"Triều phục của Thái tử- Bảo tàng Cổ vật Cung đình Huế,  ảnh: Nguyễn Tấn"
HVDV_-_NGN_-_AO_-_011_crop_03.png,HVDV - NGN - AO - 011_ver_04.pdf,HVDV - NGN - AO - 011,Nguyen,colored,6815,7111,3,3,Võ Quỳnh Trâm,Con mãng thêu trên đoạn,"Triều phục của Thái tử- Bảo tàng Cổ vật Cung đình Huế,  ảnh: Nguyễn Tấn"
