local_filename,suggested_period,period_confirmed,motif_type,keep,width,height,license,page_url,url,description,author,categories
Commissioned_embroidery_by_Vũ_Ngọc_Hoánh_Chief_of_Lạng_Sơn_Province_02.jpg,Nguyen,,,,1080,1079,Public domain,https://commons.wikimedia.org/wiki/File%3ACommissioned_embroidery_by_V%C5%A9_Ng%E1%BB%8Dc_Ho%C3%A1nh%2C_Chief_of_L%E1%BA%A1ng_S%C6%A1n_Province_02.jpg,https://upload.wikimedia.org/wikipedia/commons/e/ed/Commissioned_embroidery_by_V%C5%A9_Ng%E1%BB%8Dc_Ho%C3%A1nh%2C_Chief_of_L%E1%BA%A1ng_S%C6%A1n_Province_02.jpg,"Commissioned embroidery by Vũ Ngọc Hoánh, Chief of Lạng Sơn Province","<bdi><a href=""https://www.wikidata.org/wiki/Q131287893"" class=""extiw"" title=""d:Q131287893"">Vũ Ngọc H",Embroidery of Vietnam|PD-1996|PD-Vietnam|Art of the Nguyễn dynasty|Vũ Ngọc Hoánh
Commissioned_embroidery_by_Vũ_Ngọc_Hoánh_Chief_of_Lạng_Sơn_Province_03.jpg,Nguyen,,,,1080,1080,Public domain,https://commons.wikimedia.org/wiki/File%3ACommissioned_embroidery_by_V%C5%A9_Ng%E1%BB%8Dc_Ho%C3%A1nh%2C_Chief_of_L%E1%BA%A1ng_S%C6%A1n_Province_03.jpg,https://upload.wikimedia.org/wikipedia/commons/b/b7/Commissioned_embroidery_by_V%C5%A9_Ng%E1%BB%8Dc_Ho%C3%A1nh%2C_Chief_of_L%E1%BA%A1ng_S%C6%A1n_Province_03.jpg,"Commissioned embroidery by Vũ Ngọc Hoánh, Chief of Lạng Sơn Province","<bdi><a href=""https://www.wikidata.org/wiki/Q131287893"" class=""extiw"" title=""d:Q131287893"">Vũ Ngọc H",Embroidery of Vietnam|PD-1996|PD-Vietnam|Art of the Nguyễn dynasty|Vũ Ngọc Hoánh
Commissioned_embroidery_by_Vũ_Ngọc_Hoánh_Chief_of_Lạng_Sơn_Province_04.jpg,Nguyen,,,,1080,810,Public domain,https://commons.wikimedia.org/wiki/File%3ACommissioned_embroidery_by_V%C5%A9_Ng%E1%BB%8Dc_Ho%C3%A1nh%2C_Chief_of_L%E1%BA%A1ng_S%C6%A1n_Province_04.jpg,https://upload.wikimedia.org/wikipedia/commons/3/3d/Commissioned_embroidery_by_V%C5%A9_Ng%E1%BB%8Dc_Ho%C3%A1nh%2C_Chief_of_L%E1%BA%A1ng_S%C6%A1n_Province_04.jpg,"Commissioned embroidery by Vũ Ngọc Hoánh, Chief of Lạng Sơn Province","<bdi><a href=""https://www.wikidata.org/wiki/Q131287893"" class=""extiw"" title=""d:Q131287893"">Vũ Ngọc H",Embroidery of Vietnam|PD-1996|PD-Vietnam|Art of the Nguyễn dynasty|Vũ Ngọc Hoánh
Deers_antler_handicraft_19th_to_mid_20th_century_-_Museum_of_Vietnamese_History_-_Ho_Chi_Minh_City_-_DSC05826.JPG,Nguyen,,,,3594,5064,CC0,https://commons.wikimedia.org/wiki/File%3ADeer%27s_antler_handicraft%2C_19th_to_mid_20th_century_-_Museum_of_Vietnamese_History_-_Ho_Chi_Minh_City_-_DSC05826.JPG,https://upload.wikimedia.org/wikipedia/commons/7/77/Deer%27s_antler_handicraft%2C_19th_to_mid_20th_century_-_Museum_of_Vietnamese_History_-_Ho_Chi_Minh_City_-_DSC05826.JPG,"Exhibit in the Museum of Vietnamese History, Ho Chi Minh City, Vietnam. This work is old enough so that it is in the public domain. Photography was permitted in the museum without restriction.","<a href=""//commons.wikimedia.org/wiki/User:Daderot"" title=""User:Daderot"">Daderot</a>",CC-Zero|Self-published work|Art of the Nguyễn dynasty|Files uploaded by Daderot|Crafts in the Ho Chi Minh City Museum of History
DenIA_Ngua.JPG,Nguyen,,,,2736,3648,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File%3ADenIA_Ngua.JPG,https://upload.wikimedia.org/wikipedia/commons/6/6a/DenIA_Ngua.JPG,"Ngựa làm bằng diêm thạch thờ trong đền Y Sơn, xã Hòa Sơn, huyện Hiệp Hòa, tỉnh Bắc Giang.","<a href=""//commons.wikimedia.org/w/index.php?title=User:B%C3%B9i_Th%E1%BA%BF_T%C3%A2m&amp;action=edi",GFDL|Taken with Canon PowerShot G7|License migration redundant|Statues of horses in Vietnam|Self-published work|Buildings in Bac Giang|Art of the Nguyễn dynasty
Dragon_emerging_from_the_clouds_NMVH_EDAV.jpg,Nguyen,,,,3333,5000,Public domain,https://commons.wikimedia.org/wiki/File%3ADragon_emerging_from_the_clouds_NMVH_EDAV.jpg,https://upload.wikimedia.org/wikipedia/commons/d/d3/Dragon_emerging_from_the_clouds_NMVH_EDAV.jpg,,"<p><a href=""//commons.wikimedia.org/wiki/User:Jastrow"" title=""User:Jastrow"">Marie-Lan Nguyen</a>
</p",Taken with Nikon D800E|L'Envol du dragon – Art royal du Vietnam|Author died more than 100 years ago public domain images|Taken with AF-S Zoom-Nikkor 24-70mm f/2.8G ED|Artworks without Wikidata item|Se
Folk_Culture_15425831661.jpg,Nguyen,,,,5184,3456,CC0,https://commons.wikimedia.org/wiki/File%3AFolk_Culture_%2815425831661%29.jpg,https://upload.wikimedia.org/wikipedia/commons/c/c7/Folk_Culture_%2815425831661%29.jpg,"<p>Hoi An Museum of Folk Culture, Hoi An, Central Vietnam. Complete indexed photo collection at WorldHistoryPics.com.
</p>
A photograph of the city of Hoi An taken by Professor Gary Lee Todd.","<a rel=""nofollow"" class=""external text"" href=""https://www.flickr.com/people/101561334@N08"">Gary Todd",CC-Zero|Art of the Nguyễn dynasty|Photographs by Gary Lee Todd|Files with coordinates missing SDC location of creation|Flickr images reviewed by FlickreviewR 2|2014 in Hoi An
Four_seasons_lacquer_engraving_-_Vietnam_National_Museum_of_Fine_Arts_-_Hanoi_Vietnam_-_DSC05121.JPG,Nguyen,,,,4672,3498,CC0,https://commons.wikimedia.org/wiki/File%3AFour_seasons%2C_lacquer_engraving_-_Vietnam_National_Museum_of_Fine_Arts_-_Hanoi%2C_Vietnam_-_DSC05121.JPG,https://upload.wikimedia.org/wikipedia/commons/d/d4/Four_seasons%2C_lacquer_engraving_-_Vietnam_National_Museum_of_Fine_Arts_-_Hanoi%2C_Vietnam_-_DSC05121.JPG,"Exhibit in the Vietnam National Museum of Fine Arts - Hanoi, Vietnam. This artwork is old enough so that it is in the public domain.","<a href=""//commons.wikimedia.org/wiki/User:Daderot"" title=""User:Daderot"">Daderot</a>",Art of Vietnam|CC-Zero|Self-published work|Art of the Nguyễn dynasty|Files uploaded by Daderot|Lacquerware in the Vietnam National Museum of Fine Arts
Incense_box_from_the_Imperial_court_NMVH_EDAV.jpg,Nguyen,,,,3000,3999,Public domain,https://commons.wikimedia.org/wiki/File%3AIncense_box_from_the_Imperial_court_NMVH_EDAV.jpg,https://upload.wikimedia.org/wikipedia/commons/e/e1/Incense_box_from_the_Imperial_court_NMVH_EDAV.jpg,,"<p><a href=""//commons.wikimedia.org/wiki/User:Jastrow"" title=""User:Jastrow"">Marie-Lan Nguyen</a>
</p",Taken with Nikon D800E|L'Envol du dragon – Art royal du Vietnam|Author died more than 100 years ago public domain images|Censers|Taken with AF-S Zoom-Nikkor 24-70mm f/2.8G ED|Artworks without Wikidata
Kim_cuong.jpg,Nguyen,,,,768,1024,CC BY-SA 3.0,https://commons.wikimedia.org/wiki/File%3AKim_cuong.jpg,https://upload.wikimedia.org/wikipedia/commons/b/bb/Kim_cuong.jpg,"lacquered wood statue of a Guardian King of Buddhism, 19th century, Tây Phương Temple, Hanoi.","<a href=""//commons.wikimedia.org/w/index.php?title=User:Ptdtch&amp;action=edit&amp;redlink=1"" class=",Self-published work|Art of the Nguyễn dynasty|Armour of Vietnam
